Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency
ANJAN DAS,Ambedkarite Party of India,3512.0,5,3517.0,0.27,Odisha,Bhadrak
BASANTA KUMAR MAHALIK,Independent,1527.0,3,1530.0,0.12,Odisha,Bhadrak
SARBESWAR BEHERA,Independent,1397.0,3,1400.0,0.11,Odisha,Bhadrak
NOTA,None of the Above,5457.0,21,5478.0,0.42,Odisha,Bhadrak
APARAJITA SARANGI,Bharatiya Janata Party,509567.0,2952,512519.0,47.36,Odisha,Bhubaneswar
MANMATH KUMAR ROUTRAY,Biju Janata Dal,475990.0,1377,477367.0,44.11,Odisha,Bhubaneswar
SYED YASHIR NAWAZ,Indian National Congress,66045.0,317,66362.0,6.13,Odisha,Bhubaneswar
SURESH CHANDRA PANIGRAHY,Communist Party of India (Marxist),4134.0,14,4148.0,0.38,Odisha,Bhubaneswar
HULAS SENAPATI,Independent,2248.0,3,2251.0,0.21,Odisha,Bhubaneswar
KISHOR KUMAR SUTAR,Independent,2202.0,1,2203.0,0.2,Odisha,Bhubaneswar
SUDHANSU SEKHAR DAS,Independent,1751.0,7,1758.0,0.16,Odisha,Bhubaneswar
SANTOSH KUMAR MISHRA,Independent,1738.0,6,1744.0,0.16,Odisha,Bhubaneswar
SANGEETA PATTANAIK,Odisha Janata Party,1528.0,2,1530.0,0.14,Odisha,Bhubaneswar
PRADEEP KUMAR SAHOO,Kalinga Sena,1495.0,8,1503.0,0.14,Odisha,Bhubaneswar
SANTILATA ROUT,Supreme Zero Party of Bharat,1437.0,4,1441.0,0.13,Odisha,Bhubaneswar
NATABAR MAHARANA,Bharatiya Bikash Parishad,1080.0,7,1087.0,0.1,Odisha,Bhubaneswar
NOTA,None of the Above,8261.0,41,8302.0,0.77,Odisha,Bhubaneswar
SANGEETA KUMARI SINGH DEO,Bharatiya Janata Party,614196.0,3548,617744.0,44.12,Odisha,Bolangir
SURENDRA SINGH BHOI,Biju Janata Dal,483964.0,1116,485080.0,34.64,Odisha,Bolangir
MANOJ KUMAR MISHRA,Indian National Congress,229577.0,1297,230874.0,16.49,Odisha,Bolangir
SUNIL KUMAR BHOI,Socialist Unity Centre Of India (COMMUNIST),10334.0,21,10355.0,0.74,Odisha,Bolangir
JAGADISH CHANDRA BIBHAR,Bahujan Samaj Party,9404.0,65,9469.0,0.68,Odisha,Bolangir
BALRAM SINGH YADAV,Independent,8637.0,37,8674.0,0.62,Odisha,Bolangir
MADHUSUDAN BARIK,Ambedkarite Party of India,7239.0,13,7252.0,0.52,Odisha,Bolangir
BALARAM SA,Independent,6092.0,5,6097.0,0.44,Odisha,Bolangir
AKSHAYA DISHRI,National Apni Party,5465.0,4,5469.0,0.39,Odisha,Bolangir
RAJESH KUMAR PANDA,Ekam Sanatan Bharat Dal,3163.0,7,3170.0,0.23,Odisha,Bolangir
NOTA,None of the Above,16010.0,54,16064.0,1.15,Odisha,Bolangir
BHARTRUHARI MAHTAB,Bharatiya Janata Party,529271.0,2330,531601.0,47.43,Odisha,Cuttack
SANTRUPT MISRA,Biju Janata Dal,473443.0,1081,474524.0,42.34,Odisha,Cuttack
SURESH MOHAPATRA,Indian National Congress,83461.0,354,83815.0,7.48,Odisha,Cuttack
PRAMOD KUMAR MALLICK,Bahujan Samaj Party,4461.0,23,4484.0,0.4,Odisha,Cuttack
NIRANJAN PATI,Independent,4390.0,6,4396.0,0.39,Odisha,Cuttack
SOBHA PANDEY,Independent,3878.0,10,3888.0,0.35,Odisha,Cuttack
PRAKASH CHANDRA SAHOO,Krupaa Party,3790.0,4,3794.0,0.34,Odisha,Cuttack
RAJAKISHORE MALLIK,Socialist Unity Centre Of India (COMMUNIST),3072.0,3,3075.0,0.27,Odisha,Cuttack
GOKULANANDA MISHRA,Independent,1804.0,4,1808.0,0.16,Odisha,Cuttack
MINATI PATNAIK,Samruddha Odisha,1241.0,10,1251.0,0.11,Odisha,Cuttack
NOTA,None of the Above,8130.0,29,8159.0,0.73,Odisha,Cuttack
RUDRA NARAYAN PANY,Bharatiya Janata Party,593907.0,4814,598721.0,50.24,Odisha,Dhenkanal
ABINASH SAMAL,Biju Janata Dal,520144.0,2010,522154.0,43.82,Odisha,Dhenkanal
SASHMITA BEHERA,Indian National Congress,34052.0,678,34730.0,2.91,Odisha,Dhenkanal
PRAFULLA KUMAR NAIK,Bahujan Samaj Party,4850.0,45,4895.0,0.41,Odisha,Dhenkanal
MAHESWAR SAHOO,Independent,4614.0,15,4629.0,0.39,Odisha,Dhenkanal
MANASI SWAIN,Socialist Unity Centre Of India (COMMUNIST),3376.0,8,3384.0,0.28,Odisha,Dhenkanal
PRIYABRATA GARNAIK,Independent,2904.0,5,2909.0,0.24,Odisha,Dhenkanal
JANARDAN NAIK,Independent,2647.0,6,2653.0,0.22,Odisha,Dhenkanal
KAILAS CHANDRA PRADHAN,Independent,2205.0,8,2213.0,0.19,Odisha,Dhenkanal
SWAPNA RANI JAMES,Utkal Samaj,1603.0,5,1608.0,0.13,Odisha,Dhenkanal
NOTA,None of the Above,13731.0,46,13777.0,1.16,Odisha,Dhenkanal
BIBHU PRASAD TARAI,Bharatiya Janata Party,585672.0,3421,589093.0,45.8,Odisha,Jagatsinghpur
DR. RAJASHREE MALLICK,Biju Janata Dal,546443.0,1954,548397.0,42.63,Odisha,Jagatsinghpur
RABINDRA KUMAR SETHY,Indian National Congress,122875.0,695,123570.0,9.61,Odisha,Jagatsinghpur
RAMESH CHANDRA SETHY,Communist Party of India,8112.0,18,8130.0,0.63,Odisha,Jagatsinghpur
PEEYUUSH DAS,Ambedkarite Party of India,3225.0,5,3230.0,0.25,Odisha,Jagatsinghpur
BIBHUTI BHUSAN MAJHI,Bahujan Samaj Party,2718.0,22,2740.0,0.21,Odisha,Jagatsinghpur
MAHESWAR DAS,Socialist Unity Centre Of India (COMMUNIST),2374.0,10,2384.0,0.19,Odisha,Jagatsinghpur
SANKAR DAS,Independent,1476.0,12,1488.0,0.12,Odisha,Jagatsinghpur
SILI MALLICK,Samruddha Odisha,924.0,6,930.0,0.07,Odisha,Jagatsinghpur
ARJUNA CHARAN BEHERA,Independent,758.0,8,766.0,0.06,Odisha,Jagatsinghpur
BHANUMATI DAS,Utkal Samaj,674.0,3,677.0,0.05,Odisha,Jagatsinghpur
NOTA,None of the Above,4852.0,30,4882.0,0.38,Odisha,Jagatsinghpur
SARMISTHA SETHI,Biju Janata Dal,529428.0,3224,532652.0,45.87,Odisha,Jajpur
RABINDRA NARAYAN BEHERA,Bharatiya Janata Party,528959.0,5280,534239.0,46.01,Odisha,Jajpur
ANCHAL DAS,Indian National Congress,52455.0,690,53145.0,4.58,Odisha,Jajpur
SUBASH CHANDRA MALLIK,Socialist Unity Centre Of India (COMMUNIST),17955.0,52,18007.0,1.55,Odisha,Jajpur
ER. SANDHYA RANI MALLICK,Bahujan Samaj Party,3189.0,29,3218.0,0.28,Odisha,Jajpur
BHAIRABA PRASAD BEHERA,Independent,2398.0,5,2403.0,0.21,Odisha,Jajpur
SUMANTA MALIK,Independent,2295.0,6,2301.0,0.2,Odisha,Jajpur
BIDYADHAR DALEI,Ambedkarite Party of India,2172.0,,2172.0,0.19,Odisha,Jajpur
JHUNA MALIK,Manas Lokshakti Dal,2075.0,2,2077.0,0.18,Odisha,Jajpur
ARTTATRANA MALIK,Independent,1234.0,18,1252.0,0.11,Odisha,Jajpur
NARENDRA MALIKA,Independent,1119.0,,1119.0,0.1,Odisha,Jajpur
MANTU SETHI,Janta Darbar Party,954.0,2,956.0,0.08,Odisha,Jajpur
BINOD KUMAR JENA,Gana Suraksha Party,876.0,3,879.0,0.08,Odisha,Jajpur
NOTA,None of the Above,6738.0,50,6788.0,0.58,Odisha,Jajpur
MALVIKA DEVI,Bharatiya Janata Party,538535.0,5768,544303.0,40.79,Odisha,Kalahandi
LAMBODAR NIAL,Biju Janata Dal,408267.0,2223,410490.0,30.77,Odisha,Kalahandi
DROUPADI MAJHI,Indian National Congress,300060.0,3139,303199.0,22.72,Odisha,Kalahandi
UMAKANTA TANDI,Independent,9180.0,14,9194.0,0.69,Odisha,Kalahandi
BIRANCHI NARAYAN DURGA,Bahujan Samaj Party,8440.0,57,8497.0,0.64,Odisha,Kalahandi
DR. DHARMANANDA GAHIR,Independent,7775.0,36,7811.0,0.59,Odisha,Kalahandi
SIBA HATI,Samajwadi Party,7138.0,30,7168.0,0.54,Odisha,Kalahandi
RAJARAM SAHU,Independent,6712.0,18,6730.0,0.5,Odisha,Kalahandi
NARESH HIANLA,Independent,6627.0,14,6641.0,0.5,Odisha,Kalahandi
GANGADHAR JAL,Independent,5547.0,43,5590.0,0.42,Odisha,Kalahandi
HIMANSHU TRIPATHY,Samruddha Odisha,4898.0,8,4906.0,0.37,Odisha,Kalahandi
NOTA,None of the Above,19620.0,95,19715.0,1.48,Odisha,Kalahandi
SUKANTA KUMAR PANIGRAHI,Bharatiya Janata Party,413320.0,3095,416415.0,41.8,Odisha,Kandhamal
ACHYUTANANDA SAMANTA,Biju Janata Dal,393644.0,1400,395044.0,39.66,Odisha,Kandhamal
AMIR CHAND NAYAK,Indian National Congress,143311.0,1011,144322.0,14.49,Odisha,Kandhamal
BHAGIRATHI BALIARSINGH,Manas Lokshakti Dal,7329.0,1,7330.0,0.74,Odisha,Kandhamal
KANAK MANJARI RATH,Independent,5201.0,4,5205.0,0.52,Odisha,Kandhamal
HARIBANDHU BEHERA,Bahujan Samaj Party,5121.0,16,5137.0,0.52,Odisha,Kandhamal
SUBASH MOHAPATRA,National Jan Dal,4133.0,4,4137.0,0.42,Odisha,Kandhamal
PARSURAM PRADHAN,Kalinga Sena,2770.0,11,2781.0,0.28,Odisha,Kandhamal
NOTA,None of the Above,15691.0,29,15720.0,1.58,Odisha,Kandhamal
BAIJAYANT PANDA,Bharatiya Janata Party,612916.0,2789,615705.0,48.21,Odisha,Kendrapara
ANSHUMAN MOHANTY,Biju Janata Dal,547681.0,1488,549169.0,43.0,Odisha,Kendrapara
SIDHARTH SWARUP DASH,Indian National Congress,94595.0,237,94832.0,7.43,Odisha,Kendrapara
SOUBHAGYA KETAN SAMAL,Socialist Unity Centre Of India (COMMUNIST),3393.0,2,3395.0,0.27,Odisha,Kendrapara
SEKHA SADIKA HOSEN,Bahujan Samaj Party,1845.0,7,1852.0,0.15,Odisha,Kendrapara
SUPRAVA DAS,Akhil Bhartiya Parivar Party,1559.0,2,1561.0,0.12,Odisha,Kendrapara
SRIRAM PANDEY,Independent,1397.0,2,1399.0,0.11,Odisha,Kendrapara
SANTOSH KUMAR PATRA,Independent,1370.0,3,1373.0,0.11,Odisha,Kendrapara
PRATAP CHANDRA MOHANTY,Independent,1088.0,7,1095.0,0.09,Odisha,Kendrapara
PRANGYAN PRAKASH MOHAPATRA,Odisha Janata Party,910.0,2,912.0,0.07,Odisha,Kendrapara
NOTA,None of the Above,5807.0,8,5815.0,0.46,Odisha,Kendrapara
ANANTA NAYAK,Bharatiya Janata Party,571133.0,2790,573923.0,45.67,Odisha,Keonjhar
DHANURJAYA SIDU,Biju Janata Dal,476206.0,675,476881.0,37.95,Odisha,Keonjhar
BINOD BIHARI NAIK,Indian National Congress,104944.0,334,105278.0,8.38,Odisha,Keonjhar
JOHN MIRAN MUNDA,Independent,31729.0,7,31736.0,2.53,Odisha,Keonjhar
SAHEBA JUANGA,Manas Lokshakti Dal,11040.0,3,11043.0,0.88,Odisha,Keonjhar
SUSHANT KUMAR NAIK,Independent,9041.0,3,9044.0,0.72,Odisha,Keonjhar
LAMBODAR NAIK,Independent,6778.0,,6778.0,0.54,Odisha,Keonjhar
HARIHAR MUNDA,Socialist Unity Centre Of India (COMMUNIST),6569.0,5,6574.0,0.52,Odisha,Keonjhar
RAGHUMANI NAIK,Independent,4550.0,6,4556.0,0.36,Odisha,Keonjhar
RAM PRASAD HEMBRAM,Bahujan Samaj Party,3884.0,11,3895.0,0.31,Odisha,Keonjhar
PITABASA NAIK,AJSU Party,2141.0,3,2144.0,0.17,Odisha,Keonjhar
NOTA,None of the Above,24746.0,17,24763.0,1.97,Odisha,Keonjhar
SAPTAGIRI SANKAR ULAKA,Indian National Congress,469295.0,2098,471393.0,41.03,Odisha,Koraput
KAUSALYA HIKAKA,Biju Janata Dal,322797.0,852,323649.0,28.17,Odisha,Koraput
KALIRAM MAJHI,Bharatiya Janata Party,230792.0,1722,232514.0,20.24,Odisha,Koraput
DAMINI JANI,Bahujan Samaj Party,15373.0,54,15427.0,1.34,Odisha,Koraput
PRAKASH HIKAKA,Communist Party of India (Marxist-Leninist) (Liberation),14847.0,5,14852.0,1.29,Odisha,Koraput
LASU HANTAL,Independent,14362.0,11,14373.0,1.25,Odisha,Koraput
RAGHUMANI GOMANGO,Independent,10528.0,12,10540.0,0.92,Odisha,Koraput
ABINASH GOMANGO,Independent,10258.0,16,10274.0,0.89,Odisha,Koraput
SUMAN KANTA,Naba Bharata Nirmana Seva Party,8386.0,10,8396.0,0.73,Odisha,Koraput
SANTOSH KUMAR BIDIKA,Republican Party of India (A),5413.0,2,5415.0,0.47,Odisha,Koraput
PRAMILA PUJARI,Socialist Unity Centre Of India (COMMUNIST),4866.0,12,4878.0,0.42,Odisha,Koraput
NOTA,None of the Above,37106.0,25,37131.0,3.23,Odisha,Koraput
NABA CHARAN MAJHI,Bharatiya Janata Party,580579.0,5392,585971.0,49.91,Odisha,Mayurbhanj
SUDAM MARNDI,Biju Janata Dal,364745.0,1892,366637.0,31.23,Odisha,Mayurbhanj
ANJANI SOREN,Jharkhand Mukti Morcha,134713.0,686,135399.0,11.53,Odisha,Mayurbhanj
RABINDRA NATH SINGH,Independent,9282.0,42,9324.0,0.79,Odisha,Mayurbhanj
ASHOK KUMAR SING,Independent,8918.0,35,8953.0,0.76,Odisha,Mayurbhanj
JATIA SAWAYAN,Bahujan Samaj Party,8457.0,45,8502.0,0.72,Odisha,Mayurbhanj
SANTILATA CHATTAR,Independent,8448.0,29,8477.0,0.72,Odisha,Mayurbhanj
PITAMBAR NAIK,Socialist Unity Centre Of India (COMMUNIST),8070.0,44,8114.0,0.69,Odisha,Mayurbhanj
ANTA ALOK BASKEY,AJSU Party,5386.0,8,5394.0,0.46,Odisha,Mayurbhanj
BAJUN HANSDA,Independent,5304.0,18,5322.0,0.45,Odisha,Mayurbhanj
KANHU CHARAN TUDU,Independent,5103.0,35,5138.0,0.44,Odisha,Mayurbhanj
SUKANTA HEMBRAM,Bharatiya Nyay-Adhikar Raksha Party,3636.0,20,3656.0,0.31,Odisha,Mayurbhanj
GURU CHARAN HEMBRAM,Bharatheeya Jawan Kisan Party,3175.0,35,3210.0,0.27,Odisha,Mayurbhanj
NOTA,None of the Above,19853.0,100,19953.0,1.7,Odisha,Mayurbhanj
BALABHADRA MAJHI,Bharatiya Janata Party,478330.0,3066,481396.0,38.74,Odisha,Nabarangpur
PRADEEP KUMAR MAJHI,Biju Janata Dal,392448.0,1412,393860.0,31.7,Odisha,Nabarangpur
BHUJABAL MAJHI,Indian National Congress,302095.0,1297,303392.0,24.42,Odisha,Nabarangpur
TRINATH MUNDAGUDIA,Socialist Unity Centre Of India (COMMUNIST),20548.0,11,20559.0,1.65,Odisha,Nabarangpur
NOTA,None of the Above,43240.0,28,43268.0,3.48,Odisha,Nabarangpur
SAMBIT PATRA,Bharatiya Janata Party,625372.0,3958,629330.0,52.58,Odisha,Puri
ARUP MOHAN PATNAIK,Biju Janata Dal,523036.0,1585,524621.0,43.83,Odisha,Puri
JAYANARAYAN PATTANAYAK,Indian National Congress,24066.0,276,24342.0,2.03,Odisha,Puri
SANTANU KUMAR DAS,Bahujan Samaj Party,3918.0,11,3929.0,0.33,Odisha,Puri
SUBASH CHANDRA BHOI,Socialist Unity Centre Of India (COMMUNIST),3257.0,9,3266.0,0.27,Odisha,Puri
SOBHA PANDEY,Independent,2212.0,17,2229.0,0.19,Odisha,Puri
DILLIP KUMAR BARAL,Independent,1605.0,6,1611.0,0.13,Odisha,Puri
NOTA,None of the Above,7568.0,42,7610.0,0.64,Odisha,Puri
DHARMENDRA PRADHAN,Bharatiya Janata Party,587827.0,4335,592162.0,49.48,Odisha,Sambalpur
PRANAB PRAKASH DAS,Biju Janata Dal,471198.0,1128,472326.0,39.47,Odisha,Sambalpur
NAGENDRA KUMAR PRADHAN,Indian National Congress,88573.0,540,89113.0,7.45,Odisha,Sambalpur
SADANAND RANBIDA,Bahujan Samaj Party,4776.0,19,4795.0,0.4,Odisha,Sambalpur
SRIRAM PANDEY,Independent,4700.0,2,4702.0,0.39,Odisha,Sambalpur
SHUSHIL KUMAR BABU,Independent,4298.0,5,4303.0,0.36,Odisha,Sambalpur
GNYANENDRA BEHERA,Independent,3331.0,3,3334.0,0.28,Odisha,Sambalpur
NABAKISHORE PRADHAN,Socialist Unity Centre Of India (COMMUNIST),3151.0,6,3157.0,0.26,Odisha,Sambalpur
ATMA RAM SUPKAR,Independent,2053.0,6,2059.0,0.17,Odisha,Sambalpur
PURUSHOTTAM PATRA,Kosal Janata Dal,1731.0,4,1735.0,0.14,Odisha,Sambalpur
RAKESH BAG,Bharatiya Nyay-Adhikar Raksha Party,1704.0,4,1708.0,0.14,Odisha,Sambalpur
SUBASH MOHAPATRA,National Jan Dal,1669.0,24,1693.0,0.14,Odisha,Sambalpur
LAXMAN KUMAR BHOI,Paschimanchal Vikas Party,1662.0,20,1682.0,0.14,Odisha,Sambalpur
KHAGESWAR BEHERA,Rashtriya Manav Party,1492.0,3,1495.0,0.12,Odisha,Sambalpur
NOTA,None of the Above,12451.0,32,12483.0,1.04,Odisha,Sambalpur
JUAL ORAM,Bharatiya Janata Party,490655.0,3627,494282.0,42.77,Odisha,Sundargarh
DILIP KUMAR TIRKEY,Biju Janata Dal,353708.0,1766,355474.0,30.76,Odisha,Sundargarh
JANARDAN DEHURY,Indian National Congress,260681.0,1305,261986.0,22.67,Odisha,Sundargarh
JUSTIN LUGUN,Socialist Unity Centre Of India (COMMUNIST),9120.0,21,9141.0,0.79,Odisha,Sundargarh
JAGABANDHU ORAM,Independent,6023.0,4,6027.0,0.52,Odisha,Sundargarh
SUMANTA KUMAR SORENG,National Apni Party,4035.0,17,4052.0,0.35,Odisha,Sundargarh
SANTOSH JURA,Naba Bharata Nirmana Seva Party,3976.0,5,3981.0,0.34,Odisha,Sundargarh
PARUA EKKA,Jharkhand Party,3018.0,15,3033.0,0.26,Odisha,Sundargarh
NOTA,None of the Above,17752.0,49,17801.0,1.54,Odisha,Sundargarh
VE VAITHILINGAM,Indian National Congress,424292.0,1713,426005.0,52.73,Puducherry,PUDUCHERRY
A NAMASSIVAYAM,Bharatiya Janata Party,288050.0,1439,289489.0,35.83,Puducherry,PUDUCHERRY
R MENAGA,Naam Tamilar Katchi,39545.0,58,39603.0,4.9,Puducherry,PUDUCHERRY
G THAMIZHVENDAN,All India Anna Dravida Munnetra Kazhagam,25059.0,106,25165.0,3.11,Puducherry,PUDUCHERRY
P SANKARAN,Socialist Unity Centre Of India (COMMUNIST),2057.0,9,2066.0,0.26,Puducherry,PUDUCHERRY
ARADADI POSIYYA,Independent,1540.0,6,1546.0,0.19,Puducherry,PUDUCHERRY
D ALANGARAVELU,Bahujan Samaj Party,1534.0,6,1540.0,0.19,Puducherry,PUDUCHERRY
K KISHORKUMAR,Independent,1240.0,6,1246.0,0.15,Puducherry,PUDUCHERRY
KOLLANJIAPPAN,Independent,1198.0,1,1199.0,0.15,Puducherry,PUDUCHERRY
M MANIKANDAN,Independent,1130.0,3,1133.0,0.14,Puducherry,PUDUCHERRY
M KRISHNAMURTHY,Independent,1052.0,19,1071.0,0.13,Puducherry,PUDUCHERRY
K PRABHU DEVAN,United Republican Party of India,981.0,8,989.0,0.12,Puducherry,PUDUCHERRY
S BAKTHAVATCHALAM,Independent,923.0,1,924.0,0.11,Puducherry,PUDUCHERRY
S SATHISH KUMAR,Independent,842.0,4,846.0,0.1,Puducherry,PUDUCHERRY
COUTTANE ALIAS DHIVANEEDHE,Independent,819.0,3,822.0,0.1,Puducherry,PUDUCHERRY
E ANANTHAVEL,Independent,771.0,5,776.0,0.1,Puducherry,PUDUCHERRY
S KALA,Independent,593.0,33,626.0,0.08,Puducherry,PUDUCHERRY
P RAJAN,Independent,545.0,2,547.0,0.07,Puducherry,PUDUCHERRY
NIRMALA G,Independent,474.0,1,475.0,0.06,Puducherry,PUDUCHERRY
K ARUNACHALAM,Independent,403.0,2,405.0,0.05,Puducherry,PUDUCHERRY
K RAMADASS,Independent,368.0,4,372.0,0.05,Puducherry,PUDUCHERRY
R RAJA,Independent,326.0,5,331.0,0.04,Puducherry,PUDUCHERRY
D RAVINDIRAN,Independent,305.0,2,307.0,0.04,Puducherry,PUDUCHERRY
S MASCO,Independent,248.0,6,254.0,0.03,Puducherry,PUDUCHERRY
V P MANICKAM,Independent,242.0,2,244.0,0.03,Puducherry,PUDUCHERRY
M MURUGAN,Independent,196.0,,196.0,0.02,Puducherry,PUDUCHERRY
NOTA,None of the Above,9756.0,7,9763.0,1.21,Puducherry,PUDUCHERRY
GURJEET SINGH AUJLA,Indian National Congress,254414.0,767,255181.0,28.18,Punjab,Amritsar
KULDEEP SINGH DHALIWAL,Aam Aadmi Party,214268.0,612,214880.0,23.73,Punjab,Amritsar
TARANJIT SINGH SANDHU SAMUNDRI,Bharatiya Janata Party,206832.0,373,207205.0,22.88,Punjab,Amritsar
ANIL JOSHI,Shiromani Akali Dal,162686.0,210,162896.0,17.99,Punjab,Amritsar
EMAAN SINGH MANN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),26584.0,212,26796.0,2.96,Punjab,Amritsar
SATBIR SINGH JAMMU,Independent,3394.0,5,3399.0,0.38,Punjab,Amritsar
VISHAL SIDHU,Bahujan Samaj Party,2713.0,20,2733.0,0.3,Punjab,Amritsar
DASWINDER KAUR,Communist Party of India,2468.0,13,2481.0,0.27,Punjab,Amritsar
SHARANJIT KAUR,Independent,2456.0,4,2460.0,0.27,Punjab,Amritsar
AMANPREET SINGH MAHADIPUR,Independent,2353.0,9,2362.0,0.26,Punjab,Amritsar
GURINDER SINGH SABHI GILL,Independent,2124.0,5,2129.0,0.24,Punjab,Amritsar
SAHIB SINGH,Independent,1987.0,1,1988.0,0.22,Punjab,Amritsar
SHAMSHER SINGH SHERA,Independent,1504.0,3,1507.0,0.17,Punjab,Amritsar
SHAM LAL GANDHI,Independent,1487.0,,1487.0,0.16,Punjab,Amritsar
LOVEPREET SHARMA,Aas Punjab Party,1372.0,3,1375.0,0.15,Punjab,Amritsar
MASTER HARJINDER PAL,Independent,1358.0,,1358.0,0.15,Punjab,Amritsar
JASPAL MASIH,Independent,1223.0,4,1227.0,0.14,Punjab,Amritsar
RESHAM SINGH,Independent,1130.0,3,1133.0,0.13,Punjab,Amritsar
BAL KRISHAN SHARMA,Independent,1106.0,1,1107.0,0.12,Punjab,Amritsar
SIMRANPREET SINGH,Independent,1104.0,2,1106.0,0.12,Punjab,Amritsar
NARINDER KAUR,Aam Janta Party (India),1064.0,33,1097.0,0.12,Punjab,Amritsar
DILDAR MASIH,Shiromani Lok Dal Party,1042.0,2,1044.0,0.12,Punjab,Amritsar
RAJINDER KUMAR SHARMA,Independent,899.0,1,900.0,0.1,Punjab,Amritsar
BALWINDER SINGH,Independent,854.0,3,857.0,0.09,Punjab,Amritsar
GURPREET SINGH RATTAN,Republican Party of India (Athawale),735.0,3,738.0,0.08,Punjab,Amritsar
DR RAMESH KUMAR,Sacho Sach Party,650.0,2,652.0,0.07,Punjab,Amritsar
GAGANDEEP,Independent,608.0,2,610.0,0.07,Punjab,Amritsar
PRITHVI PAL,Independent,434.0,,434.0,0.05,Punjab,Amritsar
NEELAM,Independent,404.0,5,409.0,0.05,Punjab,Amritsar
DILBAGH SINGH,Independent,388.0,3,391.0,0.04,Punjab,Amritsar
NOTA,None of the Above,3685.0,29,3714.0,0.41,Punjab,Amritsar
MALVINDER SINGH KANG,Aam Aadmi Party,312241.0,976,313217.0,29.08,Punjab,Anandpur Sahib
VIJAY INDER SINGLA,Indian National Congress,301414.0,957,302371.0,28.07,Punjab,Anandpur Sahib
DR SUBHASH SHARMA,Bharatiya Janata Party,185836.0,742,186578.0,17.32,Punjab,Anandpur Sahib
PREM SINGH CHANDUMAJRA,Shiromani Akali Dal,117651.0,285,117936.0,10.95,Punjab,Anandpur Sahib
JASVIR SINGH GARHI,Bahujan Samaj Party,89953.0,204,90157.0,8.37,Punjab,Anandpur Sahib
KUSHAL PAL SINGH MANN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),24725.0,106,24831.0,2.31,Punjab,Anandpur Sahib
GAJJAN SINGH,Independent,6164.0,7,6171.0,0.57,Punjab,Anandpur Sahib
SIMPLE KUMAR,Independent,2962.0,,2962.0,0.27,Punjab,Anandpur Sahib
SATPAL,Independent,2294.0,3,2297.0,0.21,Punjab,Anandpur Sahib
GURMIT SINGH,Independent,2179.0,3,2182.0,0.2,Punjab,Anandpur Sahib
DHARMINDER SINGH HARMAN,Akhil Bhartiya Parivar Party,2037.0,6,2043.0,0.19,Punjab,Anandpur Sahib
SUNIL KUMAR,Bhartiya Jan Samman Party,1968.0,9,1977.0,0.18,Punjab,Anandpur Sahib
ER DALJEET SINGH SAINI,Bharatheeya Jawan Kisan Party,1710.0,5,1715.0,0.16,Punjab,Anandpur Sahib
KULWINDER SINGH,Democratic Bharatiya Samaj Party,1651.0,1,1652.0,0.15,Punjab,Anandpur Sahib
SUNAINA,Bhartiya Rashtriya Dal,1621.0,19,1640.0,0.15,Punjab,Anandpur Sahib
ADV KULWINDER SINGH,Independent,1596.0,4,1600.0,0.15,Punjab,Anandpur Sahib
MEGH RAJ,Independent,1429.0,1,1430.0,0.13,Punjab,Anandpur Sahib
HARWINDER KARWAL,Independent,1309.0,2,1311.0,0.12,Punjab,Anandpur Sahib
DAVINDER SINGH,Independent,1164.0,11,1175.0,0.11,Punjab,Anandpur Sahib
DARSHAN SINGH,Punjab National Party,1164.0,8,1172.0,0.11,Punjab,Anandpur Sahib
HANISH SHARMA,Ekam Sanatan Bharat Dal,1072.0,4,1076.0,0.1,Punjab,Anandpur Sahib
DEEPAK SHARMA,Independent,1012.0,,1012.0,0.09,Punjab,Anandpur Sahib
PARMINDER SINGH,Independent,930.0,,930.0,0.09,Punjab,Anandpur Sahib
YOG RAJ SAHOTA,Revolutionary Socialist Party,925.0,,925.0,0.09,Punjab,Anandpur Sahib
RAMJAAN KHAN,Independent,672.0,,672.0,0.06,Punjab,Anandpur Sahib
ROHTASH,Independent,617.0,2,619.0,0.06,Punjab,Anandpur Sahib
MANDAR SINGH,Independent,555.0,,555.0,0.05,Punjab,Anandpur Sahib
KIRAN JAIN,Hindustan Shakti Sena,507.0,8,515.0,0.05,Punjab,Anandpur Sahib
NOTA,None of the Above,6351.0,51,6402.0,0.59,Punjab,Anandpur Sahib
HARSIMRAT KAUR BADAL,Shiromani Akali Dal,375019.0,1539,376558.0,32.71,Punjab,Bathinda
GURMEET SINGH KHUDIAN,Aam Aadmi Party,325019.0,1883,326902.0,28.4,Punjab,Bathinda
JEETMOHINDER SINGH SIDHU,Indian National Congress,200859.0,1152,202011.0,17.55,Punjab,Bathinda
PARAMPAL KAUR SIDHU,Bharatiya Janata Party,110255.0,507,110762.0,9.62,Punjab,Bathinda
LAKHVIR SINGH LAKHA SIDHANA,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),84222.0,462,84684.0,7.36,Punjab,Bathinda
NIKKA SINGH,Bahujan Samaj Party,12979.0,60,13039.0,1.13,Punjab,Bathinda
JAGJIWAN BALLI,Independent,5480.0,4,5484.0,0.48,Punjab,Bathinda
