Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency
MEENA KASYAP,Independent,2051.0,10,2061.0,0.17,Uttar Pradesh,Shahjahanpur
PRADEEP KUMAR,Independent,1996.0,9,2005.0,0.16,Uttar Pradesh,Shahjahanpur
PREMCHANDRA HARIJAN,Sardar Patel Siddhant Party,1686.0,1,1687.0,0.14,Uttar Pradesh,Shahjahanpur
DHARM PAL,Independent,1413.0,10,1423.0,0.11,Uttar Pradesh,Shahjahanpur
RAMESH CHANDRA VERMA,Manav Kranti Party,1076.0,,1076.0,0.09,Uttar Pradesh,Shahjahanpur
NOTA,None of the Above,8449.0,41,8490.0,0.68,Uttar Pradesh,Shahjahanpur
RAM SHIROMANI VERMA,Samajwadi Party,510754.0,301,511055.0,48.83,Uttar Pradesh,Shrawasti
SAKET MISRA,Bharatiya Janata Party,434192.0,190,434382.0,41.51,Uttar Pradesh,Shrawasti
MUINUDDIN AHAMAD KHAN URF HAZI DADDAN KHAN,Bahujan Samaj Party,56225.0,26,56251.0,5.38,Uttar Pradesh,Shrawasti
AHMAD JIYA KHAN,Peace Party,15630.0,,15630.0,1.49,Uttar Pradesh,Shrawasti
SHANTI DEVI,Independent,4010.0,1,4011.0,0.38,Uttar Pradesh,Shrawasti
SUJEET KUMAR,Independent,3946.0,,3946.0,0.38,Uttar Pradesh,Shrawasti
YUGAL KISHOR SHUKLA,Aam Janta Party (India),2672.0,1,2673.0,0.26,Uttar Pradesh,Shrawasti
KRISHNA KUMAR MAURYA,Samyak Party,2266.0,1,2267.0,0.22,Uttar Pradesh,Shrawasti
MALIK RAM,Independent,2111.0,2,2113.0,0.2,Uttar Pradesh,Shrawasti
ANIL KUMAR TIWARI,Independent,1513.0,1,1514.0,0.14,Uttar Pradesh,Shrawasti
HANUMAN PRASAD MISHRA,Kisan Mazdoor Sangharsh Party,1494.0,1,1495.0,0.14,Uttar Pradesh,Shrawasti
KUMARI GEETA GAUTAM,Rashtriya Janta Party,1317.0,2,1319.0,0.13,Uttar Pradesh,Shrawasti
NOTA,None of the Above,9872.0,,9872.0,0.94,Uttar Pradesh,Shrawasti
RAKESH RATHOR,Indian National Congress,530467.0,671,531138.0,48.2,Uttar Pradesh,Sitapur
RAJESH VERMA,Bharatiya Janata Party,441066.0,431,441497.0,40.06,Uttar Pradesh,Sitapur
MAHENDRA SINGH YADAV,Bahujan Samaj Party,99284.0,80,99364.0,9.02,Uttar Pradesh,Sitapur
MO. KASHIF ANSARI,Apna Dal (Kamerawadi),7585.0,1,7586.0,0.69,Uttar Pradesh,Sitapur
LEKHRAJ LODHI,Aazad Samaj Party (Kanshi Ram),6734.0,,6734.0,0.61,Uttar Pradesh,Sitapur
VIDYAWATI GAUTAM,Independent,4193.0,1,4194.0,0.38,Uttar Pradesh,Sitapur
CHANDRA SHEKHAR VERMA,Rashtriya Shoshit Samaj Party,2429.0,,2429.0,0.22,Uttar Pradesh,Sitapur
RAM ADHAR VERMA,Sardar Patel Siddhant Party,2114.0,1,2115.0,0.19,Uttar Pradesh,Sitapur
NOTA,None of the Above,6954.0,4,6958.0,0.63,Uttar Pradesh,Sitapur
RAMBHUAL NISHAD,Samajwadi Party,442886.0,1444,444330.0,43.0,Uttar Pradesh,Sultanpur
MANEKA SANJAY GANDHI,Bharatiya Janata Party,399859.0,1297,401156.0,38.82,Uttar Pradesh,Sultanpur
UDRAJ VERMA,Bahujan Samaj Party,162603.0,422,163025.0,15.78,Uttar Pradesh,Sultanpur
ABDUL MABOOD,Apna Desh Party,4295.0,2,4297.0,0.42,Uttar Pradesh,Sultanpur
MOHAMMAD ASIF,Independent,3382.0,5,3387.0,0.33,Uttar Pradesh,Sultanpur
