Candidate,Party,Total Votes,Postal Votes,EVM Votes,% of Votes,State,Constituency
K E PRAKASH,Dravida Munnetra Kazhagam,562339.0,3490,558849.0,51.43,Tamil Nadu,ERODE
HARSH MALHOTRA,Bharatiya Janata Party,664819.0,1399,663420.0,52.59,NCT OF Delhi,East Delhi
PUTTA MAHESH KUMAR,Telugu Desam,746351.0,8707,737644.0,54.0,Andhra Pradesh,Eluru
HIBI EDEN,Indian National Congress,482317.0,3328,478989.0,52.97,Kerala,Ernakulam
DEVESH SHAKYA,Samajwadi Party,475808.0,1545,474263.0,47.09,Uttar Pradesh,Etah
JITENDRA KUMAR DOHARE,Samajwadi Party,490747.0,1389,489358.0,47.47,Uttar Pradesh,Etawah
KRISHAN PAL,Bharatiya Janata Party,788569.0,1237,787332.0,53.6,Haryana,FARIDABAD
AWADHESH PRASAD,Samajwadi Party,554289.0,740,553549.0,48.59,Uttar Pradesh,Faizabad
SARABJEET SINGH KHALSA,Independent,298062.0,1140,296922.0,29.38,Punjab,Faridkot
MUKESH RAJPUT,Bharatiya Janata Party,487963.0,1038,486925.0,47.2,Uttar Pradesh,Farrukhabad
AMAR SINGH,Indian National Congress,332591.0,1267,331324.0,34.14,Punjab,Fatehgarh Sahib
NARESH CHANDRA UTTAM PATEL,Samajwadi Party,500328.0,462,499866.0,45.2,Uttar Pradesh,Fatehpur
RAJKUMAR CHAHAR,Bharatiya Janata Party,445657.0,2795,442862.0,43.09,Uttar Pradesh,Fatehpur Sikri
AKSHAYA YADAV,Samajwadi Party,543037.0,1176,541861.0,49.04,Uttar Pradesh,Firozabad
SHER SINGH GHUBAYA,Indian National Congress,266626.0,1914,264712.0,23.7,Punjab,Firozpur
KULDEEP INDORA,Indian National Congress,726492.0,6596,719896.0,51.4,Rajasthan,GANGANAGAR
JYOTIRADITYA M. SCINDIA,Bharatiya Janata Party,923302.0,3558,919744.0,67.21,Madhya Pradesh,GUNA
RAO INDERJIT SINGH,Bharatiya Janata Party,808336.0,3175,805161.0,50.48,Haryana,GURGAON
BHARAT SINGH KUSHWAH,Bharatiya Janata Party,671535.0,2753,668782.0,49.99,Madhya Pradesh,GWALIOR
DR. KIRSAN NAMDEO,Indian National Congress,617792.0,3182,614610.0,52.97,Maharashtra,Gadchiroli
AMIT SHAH,Bharatiya Janata Party,1010972.0,10988,999984.0,76.48,Gujarat,Gandhinagar
ANIL BALUNI,Bharatiya Janata Party,432159.0,13628,418531.0,58.6,Uttarakhand,Garhwal
DR. MAHESH SHARMA,Bharatiya Janata Party,857829.0,2416,855413.0,59.69,Uttar Pradesh,Gautam Buddha Nagar
JITAN RAM MANJHI,Hindustani Awam Morcha (Secular),494960.0,2228,492732.0,51.36,Bihar,Gaya
ADHIKARI DEEPAK (DEV),All India Trinamool Congress,837990.0,3432,834558.0,52.36,West Bengal,Ghatal
ATUL GARG,Bharatiya Janata Party,854170.0,1134,853036.0,58.09,Uttar Pradesh,Ghaziabad
AFZAL ANSARI,Samajwadi Party,539912.0,2128,537784.0,46.82,Uttar Pradesh,Ghazipur
RAJEEV RAI,Samajwadi Party,503131.0,1724,501407.0,43.73,Uttar Pradesh,Ghosi
CHANDRA PRAKASH CHOUDHARY,AJSU Party,451139.0,3243,447896.0,35.67,Jharkhand,Giridih
NISHIKANT DUBEY,Bharatiya Janata Party,693140.0,4261,688879.0,49.57,Jharkhand,Godda
KIRTIVARDHAN SINGH,Bharatiya Janata Party,474258.0,567,473691.0,49.77,Uttar Pradesh,Gonda
DR. ALOK KUMAR SUMAN,Janata Dal (United),511866.0,1537,510329.0,48.15,Bihar,Gopalganj
RAVINDRA SHUKLA ALIAS RAVI KISHAN,Bharatiya Janata Party,585834.0,1322,584512.0,50.75,Uttar Pradesh,Gorakhpur
RADHAKRISHNA,Indian National Congress,652321.0,1698,650623.0,49.78,Karnataka,Gulbarga
DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,864948.0,13928,851020.0,60.68,Andhra Pradesh,Guntur
SUKHJINDER SINGH RANDHAWA,Indian National Congress,364043.0,2330,361713.0,33.78,Punjab,Gurdaspur
BIJULI KALITA MEDHI,Bharatiya Janata Party,894887.0,2986,891901.0,55.95,Assam,Guwahati
ANURAG SINGH THAKUR,Bharatiya Janata Party,607068.0,14013,593055.0,57.97,Himachal Pradesh,HAMIRPUR
JAI PARKASH (J P) S/O HARIKESH,Indian National Congress,570424.0,3230,567194.0,48.58,Haryana,HISAR
DARSHAN SINGH CHOUDHARY,Bharatiya Janata Party,812147.0,1618,810529.0,64.99,Madhya Pradesh,HOSHANGABAD
CHIRAG PASWAN,Lok Janshakti Party(Ram Vilas),615718.0,2612,613106.0,53.29,Bihar,Hajipur
AJENDRA SINGH LODHI,Samajwadi Party,490683.0,680,490003.0,44.0,Uttar Pradesh,Hamirpur
JAI PRAKASH,Bharatiya Janata Party,486798.0,1053,485745.0,44.25,Uttar Pradesh,Hardoi
TRIVENDRA SINGH RAWAT,Bharatiya Janata Party,653808.0,5310,648498.0,50.19,Uttarakhand,Haridwar
SHREYAS. M. PATEL,Indian National Congress,672988.0,2714,670274.0,49.67,Karnataka,Hassan
ANOOP PRADHAN BALMIKI,Bharatiya Janata Party,554746.0,2412,552334.0,51.24,Uttar Pradesh,Hathras
DHAIRYASHEEL SAMBHAJIRAO MANE,Shiv Sena,520190.0,1856,518334.0,40.14,Maharashtra,Hatkanangale
BASAVARAJ BOMMAI,Bharatiya Janata Party,705538.0,3349,702189.0,50.55,Karnataka,Haveri
MANISH JAISWAL,Bharatiya Janata Party,654613.0,7197,647416.0,51.76,Jharkhand,Hazaribagh
B K PARTHASARATHI,Telugu Desam,725534.0,12521,713013.0,51.23,Andhra Pradesh,Hindupur
AASHTIKAR PATIL NAGESH BAPURAO,Shiv Sena (Uddhav Balasaheb Thackrey),492535.0,2103,490432.0,42.49,Maharashtra,Hingoli
RACHNA BANERJEE,All India Trinamool Congress,702744.0,2624,700120.0,46.31,West Bengal,Hooghly
DR. RAJ KUMAR CHABBEWAL,Aam Aadmi Party,303859.0,1457,302402.0,32.04,Punjab,Hoshiarpur
PRASUN BANERJEE,All India Trinamool Congress,626493.0,1264,625229.0,49.26,West Bengal,Howrah
ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,661981.0,2703,659278.0,61.28,Telangana,Hyderabad
SHANKAR LALWANI,Bharatiya Janata Party,1226751.0,3005,1223746.0,78.54,Madhya Pradesh,INDORE
ADV. DEAN KURIAKOSE,Indian National Congress,432372.0,5243,427129.0,51.43,Kerala,Idukki
ANGOMCHA BIMOL AKOIJAM,Indian National Congress,374017.0,3339,370678.0,46.93,Manipur,Inner Manipur
ASHISH DUBEY,Bharatiya Janata Party,790133.0,1412,788721.0,68.2,Madhya Pradesh,JABALPUR
MANJU SHARMA,Bharatiya Janata Party,886850.0,8207,878643.0,60.61,Rajasthan,JAIPUR
